STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       7373;20060301;-999;-999;-999;   10;   1.8;   7;    1.900;   1;   4.3;   5.5;    -999;    0.8;   85.00;    2.9;   -0.5;   -2.0;eor
       7373;20060302;-999;-999;-999;   10;   5.8;   7;    2.900;   1;   5.0;   5.6;    -999;    1.1;   85.00;    3.9;   -1.1;   -2.8;eor
       7373;20060303;-999;-999;-999;   10;   0.2;   7;    5.600;   4;   1.7;   5.4;    -999;   -0.4;   91.00;    2.2;   -2.6;   -6.4;eor
       7373;20060304;-999;-999;-999;   10;   5.9;   7;    7.100;   2;   4.0;   5.3;    -999;    0.9;   81.00;    3.4;   -1.5;   -2.9;eor
       7373;20060305;-999;-999;-999;   10;   0.7;   7;    4.800;   6;   3.7;   5.7;    -999;    0.6;   89.00;    4.3;   -3.5;   -5.9;eor
       7373;20060306;-999;-999;-999;   10;   1.8;   7;    6.500;   3;   3.3;   6.0;    -999;    2.2;   83.00;    4.6;   -0.2;   -0.7;eor
       7373;20060307;-999;-999;-999;   10;   0.0;   0;    7.300;   3;   1.3;   4.8;    -999;    1.1;   72.00;    3.1;   -1.0;   -1.9;eor
       7373;20060308;-999;-999;-999;   10;   2.8;   8;    0.000;   0;   8.0;   5.7;    -999;    0.7;   89.00;    1.9;   -0.6;   -1.5;eor
       7373;20060309;-999;-999;-999;   10;   3.8;   7;    0.000;   0;   8.0;   6.0;    -999;    0.9;   92.00;    1.9;    0.1;    0.0;eor
       7373;20060310;-999;-999;-999;   10;   5.0;   7;    0.000;   4;   8.0;   6.7;    -999;    1.8;   95.00;    5.3;   -1.0;   -0.9;eor
       7373;20060311;-999;-999;-999;   10;   0.0;   7;    4.100;   7;   6.7;   4.2;    -999;   -1.7;   78.00;   -0.2;   -3.4;   -4.6;eor
       7373;20060312;-999;-999;-999;   10;   0.0;   0;    7.600;   5;   2.7;   3.1;    -999;   -2.4;   62.00;    0.3;   -5.9;   -8.7;eor
       7373;20060313;-999;-999;-999;   10;   0.0;   0;   10.500;   3;   0.0;   3.7;    -999;   -2.5;   73.00;    0.9;   -5.6;   -6.7;eor
       7373;20060314;-999;-999;-999;   10;   0.0;   0;    9.000;   0;   0.0;   3.9;    -999;   -1.7;   72.00;    1.6;   -4.6;   -5.4;eor
       7373;20060315;-999;-999;-999;   10;   0.2;   7;    6.400;   0;   4.3;   4.5;    -999;   -0.9;   78.00;    1.8;   -3.8;   -4.5;eor
