id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
00044,0.34141162037849426,0.006891131401062012,0.21063503623008728,0.1148613691329956,0.22148515284061432,0.12566757202148438,8.237,52.9336,0.014782588328084637,0.17068784463339012,0.2455958998795097,1,0,0
00073,0.35078537464141846,0.005135178565979004,0.23469431698322296,0.07505524158477783,0.20805545151233673,0.14467453956604004,13.062,48.6183,0.01187789129174274,0.1232388534663636,0.2654029484452872,1,0,0
00078,0.25375962257385254,0.0434192419052124,0.17491157352924347,0.18678033351898193,0.13110370934009552,0.367154598236084,7.9125,52.4853,0.05922829921428974,0.24354690547082938,0.47708499373459234,0,0,0
00142,0.1992531716823578,0.11803603172302246,0.0880628153681755,0.51511383056640625,0.04558037593960762,0.7704710960388184,11.3117,48.406,0.13770870367685956,0.5547379713792067,0.8451345035568676,0,0,0
00150,0.5279335379600525,2.7298927307128906e-5,0.44385474920272827,7.797479629516602e-4,0.3311289846897125,0.021208882331848145,8.1164,49.7273,7.108251253763835e-4,0.011769572893778484,0.09918069070385348,1,1,0
00151,0.47204920649528503,1.6796588897705078e-4,0.41060325503349304,0.0017800331115722656,0.3210112154483795,0.022526144981384277,11.8546,49.4691,0.001834282508263221,0.014429822112574722,0.09918069070385348,1,1,0
00164,0.3873736560344696,0.0020374059677124023,0.3400670886039734,0.008991241455078125,0.3130435645580292,0.02930283546447754,13.9908,53.0316,0.006229310200132173,0.03920770864017674,0.10669094324111938,1,1,0
00183,0.1570778638124466,0.2541067600250244,0.11585627496242523,0.41181480884552,0.06614608317613602,0.6834808588027954,13.4344,54.6791,0.28281338145044554,0.46026360988616943,0.7649145490454828,0,0,0
00198,0.38441193103790283,0.0023097991943359375,0.42008402943611145,0.0017715692520141602,0.42008402943611145,0.0032296180725097656,11.292,51.3744,0.006625971895583133,0.014429822112574722,0.05050645934210884,1,1,0
00217,0.21242094039916992,0.09863340854644775,0.13154146075248718,0.3326535224914551,0.23895691335201263,0.10303950309753418,11.3643,47.8774,0.11740279197692871,0.3830555713537968,0.22383252779642743,0,0,0
00232,0.2236967831850052,0.07872653007507324,0.13500745594501495,0.31212007999420166,0.17564596235752106,0.2310349941253662,10.9417,48.4253,0.09740119534869528,0.36543108026186627,0.35117319107055667,0,0,0
00257,0.5316910743713379,2.3126602172851563e-05,0.42369240522384644,0.001107931137084961,0.3588724136352539,0.010872244834899902,8.2457,48.727,6.835195753309462e-4,0.012796173493067425,0.09210633530336268,1,1,0
00259,0.5856668949127197,5.9604644775390625e-6,0.5236396193504333,9.000301361083984e-5,0.49005770683288574,6.843805313110352e-4,7.6387,47.8064,5.284945170084636e-4,0.005980443954467774,0.05050645934210884,1,1,0
00282,0.35106509923934937,0.005522727966308594,0.2670307159423828,0.044616103172302246,0.2113712877035141,0.14279794692993164,10.9206,49.8743,0.012555945632804153,0.09129141110640306,0.2637795408566793,1,0,0
00298,0.12839333713054657,0.3148000240325928,0.14213381707668304,0.2944093942642212,0.0245432797819376,0.8840166330337524,12.7108,54.3405,0.34318363275684294,0.3524065613746643,0.9405936975479127,0,0,0
00314,0.19688104093074799,0.1193079948425293,0.13049085438251495,0.32190537452697754,0.07637479156255722,0.6005561351776123,14.5042,51.1604,0.13858483243717376,0.37391628656845427,0.6883448657826481,0,0,0
00320,0.3007413446903229,0.01807880401611328,0.2490001618862152,0.06295251846313477,0.22771793603897095,0.11140024662017822,11.5198,49.9666,0.02957247810129739,0.11314439129185033,0.22794204308436466,1,0,0
00330,0.44668737053871155,4.514455795288086e-4,0.30006489157676697,0.023644089698791504,0.3304494023323059,0.020253658294677734,8.9673,49.5617,0.0027745962142944336,0.06236884145453425,0.09918069070385348,1,0,0
00377,0.4912908673286438,0.00012826919555664063,0.4691946804523468,4.1961669921875e-4,0.3287818133831024,0.0231173038482666,7.9967,49.107,0.0015508911826393821,0.008586003230168268,0.09918069070385348,1,1,0
00379,0.07412493228912354,0.9000041484832764,0.24174688756465912,0.5065550804138184,-0.13750478625297546,0.7720589637756348,11.2665,50.9075,0.9172456072664809,0.5477384202848605,0.8451345035568676,0,0,0
00400,0.38213229179382324,0.002295374870300293,0.3601813018321991,0.0069283246994018555,0.29767757654190063,0.03666698932647705,13.5021,52.631,0.006625971895583133,0.033507897637107154,0.12041258223262834,1,1,0
00403,0.24545785784721375,0.05244457721710205,0.29355159401893616,0.02743709087371826,0.26540297269821167,0.059694886207580566,13.3017,52.4537,0.0687204804913751,0.06671830090609464,0.16021201398112986,0,0,0
00427,0.391071617603302,0.0017760992050170898,0.3713006377220154,0.004868745803833008,0.41471442580223083,0.0034177303314208984,13.5306,52.3807,0.005761492543104219,0.02877969741821289,0.05050645934210884,1,1,0
00433,0.34655842185020447,0.005483746528625488,0.3235156536102295,0.014280915260314941,0.30719587206840515,0.030483126640319824,13.402,52.4676,0.012555945632804153,0.04748404324054718,0.10669094324111938,1,1,0
00445,0.41988036036491394,7.445812225341797e-4,0.4143877327442169,0.0016630887985229492,0.35666561126708984,0.011265397071838379,11.711,51.8218,0.0035367608070373535,0.014429822112574722,0.09210633530336268,1,1,0
00460,0.25952690839767456,0.039750099182128906,0.22790613770484924,0.08226227760314941,0.3126426935195923,0.025678634643554688,6.6868,49.2641,0.055070449908574425,0.1318178665207093,0.10250458788515916,0,0,0
00535,0.28699687123298645,0.023391127586364746,0.2576051354408264,0.049855589866638184,0.2447967827320099,0.08674252033233643,7.3079,50.0372,0.035554513931274415,0.09609845582989679,0.20786946313875215,1,0,0
00555,0.2572478950023651,0.16937243938446045,0.1781020164489746,0.3700364828109741,0.23924684524536133,0.2622281312942505,7.2289,51.5026,0.19253448237720716,0.42063976251162016,0.3811622017719707,0,0,0
00591,0.2740287780761719,0.029793262481689453,0.2822883129119873,0.0334773063659668,0.16412480175495148,0.2576723098754883,10.6878,53.3911,0.04427378670463349,0.07518895934609807,0.37659799135648286,1,0,0
00596,0.11660008132457733,0.3700695037841797,0.10564181953668594,0.44915854930877686,0.19843824207782745,0.18514370918273926,11.1908,54.0027,0.40015645531134875,0.49781739215056103,0.30136833588282264,0,0,0
00619,-0.5273982286453247,1.1727491801138967e-4,-0.487568199634552,3.997794119641185e-4,-0.15832512080669403,0.2885575294494629,6.6703,53.5788,0.0014854822948109359,0.008586003230168268,0.40398054122924804,1,1,0
00642,-0.4050520360469818,0.004823158495128155,-0.4028466045856476,0.005277527496218681,-0.2278365045785904,0.12627892196178436,8.4969,53.3518,0.011370582918150235,0.028962345123291017,0.2455958998795097,1,1,0
00656,0.26975730061531067,0.034650444984436035,0.23804745078086853,0.0709080696105957,0.10653714835643768,0.466823935508728,10.6021,51.7234,0.04928886826663093,0.12106000307278755,0.5644325765696439,1,0,0
00662,0.35355842113494873,0.00502622127532959,0.288986474275589,0.03321373462677002,0.19270719587802887,0.1903378963470459,10.4464,52.2915,0.01172784964243571,0.07518895934609807,0.30136833588282264,1,0,0
00691,0.2535179555416107,0.04551041126251221,0.23914194107055664,0.07010173797607422,0.2508525252342224,0.07618236541748047,8.7981,53.0451,0.06052884697914124,0.12106000307278755,0.191536488934098,0,0,0
00701,0.10573568940162659,0.4086794853210449,0.18030749261379242,0.17809057235717773,0.14433960616588593,0.32727837562561035,8.5761,53.5332,0.4365812975718793,0.23336006033009496,0.44190887267214396,0,0,0
00722,0.28117987513542175,0.05092024803161621,0.28117987513542175,0.05092024803161621,1,1,10.6183,51.7986,0.06715700177863093,0.09744450342740944,1,0,0,0
