STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       7370;20061211;   10;   9.6;-999;    3;   1.7;   4;    0.400;   0;  -999;   6.1;  968.20;    1.1;   92.00;    2.4;    0.3;    0.1;eor
       7370;20061212;   10;   7.3;-999;    3;   2.5;   4;    0.000;   0;  -999;   6.6;  964.90;    2.1;   93.00;    3.4;    0.6;    0.1;eor
       7370;20061213;   10;   8.5;-999;    3;   0.1;   4;    0.000;   0;  -999;   7.0;  969.30;    3.4;   90.00;    4.9;    1.9;   -1.0;eor
       7370;20061214;   10;   4.8;-999;    3;   0.0;   0;    7.000;   0;  -999;   6.3;  971.40;    2.4;   86.00;    6.3;   -1.9;   -3.7;eor
       7370;20061215;   10;   2.0;-999;    3;   0.0;   4;    7.000;   0;  -999;   5.6;  970.10;   -0.2;   93.00;    7.7;   -4.2;   -5.2;eor
       7370;20061216;   10;   7.0;-999;    3;   0.6;   4;    6.800;   0;  -999;   5.6;  965.20;    1.8;   82.00;    7.4;   -4.7;   -5.7;eor
       7370;20061217;   10;   5.4;-999;    3;   0.2;   4;    0.100;   0;  -999;   7.0;  965.10;    3.0;   92.00;    5.7;   -1.9;   -2.7;eor
       7370;20061218;   10;   5.9;-999;    3;   0.0;   0;    0.900;   0;  -999;   5.7;  967.50;    1.0;   86.00;    2.9;   -1.3;   -2.1;eor
       7370;20061219;   10;   5.3;-999;    3;   0.0;   4;    0.000;   0;  -999;   4.7;  971.60;    0.2;   76.00;    1.0;   -0.6;   -2.0;eor
       7370;20061220;   10;   5.6;-999;    3;   0.6;   4;    0.000;   0;  -999;   5.5;  974.40;    0.4;   88.00;    2.5;   -1.6;   -3.1;eor
       7370;20061221;   10;   5.2;-999;    3;   0.0;   4;    1.000;   0;  -999;   6.1;  978.10;    1.1;   93.00;    4.4;   -1.0;   -3.0;eor
       7370;20061222;   10;   9.9;-999;    3;   0.0;   0;    1.300;   0;  -999;   5.7;  979.60;    0.9;   88.00;    3.6;   -2.7;   -4.5;eor
       7370;20061223;   10;  14.5;-999;    3;   0.0;   0;    5.900;   0;  -999;   5.7;  979.10;    0.5;   90.00;    1.4;   -2.2;   -4.2;eor
       7370;20061224;   10;   7.6;-999;    3;   0.0;   0;    7.000;   0;  -999;   5.7;  975.10;    0.4;   91.00;    8.1;   -3.7;   -4.9;eor
       7370;20061225;   10;  12.1;-999;    3;   0.0;   0;    2.100;   0;  -999;   5.3;  974.70;   -0.4;   90.00;    1.5;   -4.3;   -4.1;eor
       7370;20061226;   10;   5.8;-999;    3;   0.0;   0;    7.000;   0;  -999;   4.8;  975.00;   -1.4;   87.00;    2.6;   -5.5;   -7.4;eor
       7370;20061227;   10;   4.1;-999;    3;   0.0;   4;    7.000;   0;  -999;   4.3;  971.90;   -3.5;   91.00;    2.2;   -7.6;   -9.3;eor
       7370;20061228;   10;  10.8;-999;    3;   2.5;   4;    0.000;   0;  -999;   4.6;  967.30;   -2.8;   93.00;   -0.9;   -4.9;   -4.2;eor
       7370;20061229;   10;   4.0;-999;    3;   0.0;   4;    0.000;   0;  -999;   5.9;  969.60;   -0.4;  100.00;    0.8;   -1.7;   -1.4;eor
       7370;20061230;   10;   5.2;-999;    3;   1.6;   4;    0.200;   0;  -999;   5.3;  968.30;   -1.8;   98.00;    2.0;   -3.9;   -5.6;eor
       7370;20061231;   10;  14.3;-999;    3;   7.0;   4;    4.100;   0;  -999;   7.1;  968.30;    4.9;   82.00;    8.1;    1.3;   -0.7;eor
       7370;20070101;   10;-999;-999;    9;   6.5;   4;    0.200;   0;  -999;  -999;    -999;    6.6;-999;    9.6;    6.1;    4.8;eor
       7370;20070102;   10;-999;-999;    9;   2.5;   4;    0.000;   0;  -999;  -999;    -999;    1.2;-999;    1.5;    0.6;    0.1;eor
       7370;20070103;   10;   9.7;   4.2;    9;   0.3;   4;    0.000;   0;  -999;   6.4;  966.80;    2.5;   88.00;    3.6;    1.4;    0.7;eor
       7370;20070104;   10;  12.6;   4.5;    9;   3.2;   4;    0.000;   0;  -999;   6.7;  956.30;    3.5;   85.00;    5.2;    1.9;    0.6;eor
       7370;20070105;   10;  12.3;   6.1;    9;   3.5;   4;    0.000;   0;  -999;   7.6;  960.00;    4.6;   89.00;    5.4;    3.8;    3.2;eor
       7370;20070106;   10;   9.2;   4.2;    9;   7.2;   4;    0.000;   0;  -999;   8.5;  962.10;    5.8;   92.00;    7.2;    4.7;    4.2;eor
       7370;20070107;   10;  14.8;   4.6;    9;   0.2;   4;    0.100;   0;  -999;   7.7;  959.70;    5.2;   87.00;    7.6;   -1.2;   -3.0;eor
       7370;20070108;   10;  10.4;   3.4;    9;   3.7;   4;    0.000;   0;  -999;   7.6;  954.60;    4.3;   91.00;    7.4;   -2.4;   -3.3;eor
       7370;20070109;   10;  11.5;   5.2;    9;   2.5;   4;    0.000;   0;  -999;  10.1;  957.60;    8.6;   90.00;   10.7;    6.7;    5.7;eor
       7370;20070110;   10;  16.0;   4.5;    9;   0.6;   4;    5.500;   0;  -999;   9.5;  961.00;    9.1;   82.00;   11.4;    5.6;    3.0;eor
       7370;20070111;   10;  21.6;   8.1;    9;   5.4;   4;    0.900;   0;  -999;   7.3;  958.30;    6.5;   75.00;    9.4;    2.7;    0.4;eor
       7370;20070112;   10;  18.6;   7.2;    9;   0.9;   4;    0.600;   0;  -999;   7.0;  961.70;    5.8;   76.00;    7.9;    4.8;    3.1;eor
       7370;20070113;   10;  16.1;   5.2;    9;   0.9;   4;    0.000;   0;  -999;   8.8;  964.20;    7.9;   83.00;    9.1;    4.5;    1.5;eor
       7370;20070114;   10;  15.0;   4.2;    9;   2.7;   4;    3.600;   0;  -999;   7.5;  967.40;    5.5;   83.00;    8.6;   -0.6;   -2.8;eor
       7370;20070115;   10;   2.7;   0.8;    9;   0.0;   0;    7.300;   0;  -999;   5.3;  969.50;   -0.9;   93.00;    6.1;   -4.8;   -5.5;eor
       7370;20070116;   10;   4.2;   1.5;    9;   0.0;   0;    0.000;   0;  -999;   5.5;  965.00;   -1.1;   97.00;    0.3;   -4.4;   -5.9;eor
       7370;20070117;   10;  12.3;   2.9;    9;   0.5;   4;    0.300;   0;  -999;   7.4;  961.30;    4.2;   89.00;    8.3;    0.3;    0.1;eor
       7370;20070118;   10;  31.6;  11.8;    9;   7.8;   4;    0.000;   0;  -999;   9.1;  946.00;   10.2;   73.00;   12.2;    7.7;    6.2;eor
       7370;20070119;   10;  26.7;   8.6;    9;  10.0;   4;    0.400;   0;  -999;   8.0;  951.80;    7.5;   78.00;   10.1;    4.5;    3.3;eor
       7370;20070120;   10;  14.1;   6.0;    9;   2.9;   4;    0.000;   0;  -999;   9.8;  957.70;    9.4;   83.00;   10.9;    6.7;    5.1;eor
       7370;20070121;   10;  25.3;   7.1;    9;   0.8;   4;    0.800;   0;  -999;   6.4;  955.30;    4.5;   75.00;    9.4;    0.9;   -1.7;eor
       7370;20070122;   10;   9.5;   1.9;    9;   0.0;   0;    0.000;   0;  -999;   5.6;  956.80;    1.9;   81.00;    3.8;   -0.3;   -1.7;eor
       7370;20070123;   10;  17.1;   5.9;    9;   3.3;   4;    0.000;   0;  -999;   3.7;  949.10;   -3.7;   78.00;    1.1;   -4.8;   -4.7;eor
       7370;20070124;   10;  12.3;   3.0;    9;   6.4;   4;    0.000;   0;  -999;   3.9;  940.40;   -4.9;   91.00;   -4.0;   -6.2;   -4.6;eor
       7370;20070125;   10;   6.1;   1.2;    9;   0.1;   4;    4.100;   0;  -999;   3.3;  956.20;   -6.2;   86.00;   -0.2;  -10.7;   -2.2;eor
       7370;20070126;   10;   9.3;   2.5;    9;   2.9;   4;    1.200;   0;  -999;   2.8;  960.50;   -8.9;   89.00;   -5.2;  -14.6;   -3.1;eor
       7370;20070127;   10;  12.2;   4.1;    9;   3.4;   4;    0.000;   0;  -999;   4.6;  960.80;   -2.8;   92.00;   -0.3;   -7.0;   -1.5;eor
       7370;20070128;   10;  15.5;   7.3;    9;   0.3;   4;    0.000;   0;  -999;   5.8;  963.00;    0.6;   91.00;    1.8;   -0.5;   -0.2;eor
       7370;20070129;   10;  15.8;   5.4;    9;   3.9;   4;    0.000;   0;  -999;   6.5;  959.30;    2.0;   92.00;    3.1;    1.1;    0.0;eor
       7370;20070130;   10;   7.3;   2.7;    9;   0.2;   4;    0.000;   0;  -999;   6.4;  963.30;    1.6;   93.00;    3.0;    0.7;    0.0;eor
       7370;20070131;   10;  10.9;   3.8;    9;   1.2;   4;    0.000;   0;  -999;   5.9;  961.50;    1.6;   86.00;    2.7;    0.5;    0.0;eor
       7370;20070201;   10;   9.3;   2.8;    9;   0.1;   4;    0.500;   0;  -999;   6.4;  965.10;    2.2;   89.00;    5.2;   -1.2;   -2.3;eor
