STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
      13696;20071201;-999;-999;-999;   10;   2.9;   6;-999;   0;   6.3;   9.0;    -999;    8.8;   80.00;   10.2;    6.9;    5.7;eor
      13696;20071202;-999;-999;-999;   10;  13.5;   6;-999;   0;   7.3;   9.5;    -999;    8.9;   83.00;   11.1;    6.5;    4.8;eor
      13696;20071203;-999;-999;-999;   10;   2.4;   6;-999;   0;   7.7;   8.1;    -999;    6.9;   81.00;    9.7;    4.2;    3.4;eor
      13696;20071204;-999;-999;-999;   10;   0.2;   6;-999;   0;   7.3;   8.3;    -999;    6.2;   88.00;    8.9;    4.1;    2.8;eor
      13696;20071205;-999;-999;-999;   10;   1.6;   6;-999;   0;   7.7;  10.9;    -999;   11.3;   82.00;   12.6;    9.0;    8.0;eor
      13696;20071206;-999;-999;-999;   10;  19.0;   6;-999;   0;   8.0;  10.9;    -999;   10.2;   87.00;   12.5;    9.0;    8.4;eor
      13696;20071207;-999;-999;-999;   10;   2.2;   6;-999;   0;   6.3;  10.2;    -999;   10.2;   80.00;   13.7;    7.0;    5.4;eor
      13696;20071208;-999;-999;-999;   10;   3.3;   6;-999;   0;   7.0;   7.5;    -999;    6.4;   78.00;    7.3;    4.6;    3.7;eor
      13696;20071209;-999;-999;-999;   10;   2.1;   6;-999;   0;   6.3;   8.6;    -999;    7.7;   82.00;    9.9;    5.5;    2.2;eor
      13696;20071210;-999;-999;-999;   10;   2.9;   6;-999;   0;   7.7;   8.7;    -999;    6.1;   92.00;    6.7;    5.2;    3.9;eor
      13696;20071211;-999;-999;-999;   10;   1.4;   6;-999;   0;   7.7;   8.0;    -999;    5.3;   89.00;    6.3;    4.2;    2.4;eor
      13696;20071212;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.0;   7.5;    -999;    4.4;   90.00;    5.6;    2.9;    0.7;eor
      13696;20071213;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.0;   6.7;    -999;    3.9;   83.00;    5.8;    2.5;   -0.1;eor
      13696;20071214;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.7;   5.4;    -999;    2.5;   73.00;    3.2;    1.0;   -1.1;eor
      13696;20071215;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.7;   5.3;    -999;    1.3;   79.00;    3.0;   -2.5;   -5.3;eor
      13696;20071216;-999;-999;-999;   10;   0.0;   0;-999;   0;   2.7;   4.6;    -999;   -1.2;   83.00;    1.7;   -3.0;   -5.2;eor
      13696;20071217;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.3;   4.8;    -999;    0.1;   78.00;    2.2;   -2.0;   -3.4;eor
      13696;20071218;-999;-999;-999;   10;   0.0;   0;-999;   0;   2.3;   4.9;    -999;   -0.7;   85.00;    2.0;   -2.8;   -5.1;eor
      13696;20071219;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.0;   4.7;    -999;   -2.7;   93.00;    1.0;   -5.3;   -6.9;eor
      13696;20071220;-999;-999;-999;   10;   0.0;   7;-999;   0;   8.0;   4.5;    -999;   -4.1;  100.00;   -3.7;   -4.5;   -4.0;eor
      13696;20071221;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.0;   4.4;    -999;   -4.5;  100.00;   -1.3;   -7.2;   -8.7;eor
      13696;20071222;-999;-999;-999;   10;   0.0;   0;-999;   0;   0.3;   4.1;    -999;   -4.6;   94.00;    3.9;   -8.4;   -9.6;eor
      13696;20071223;-999;-999;-999;   10;   0.5;   6;-999;   0;   7.3;   6.0;    -999;    0.4;   94.00;    3.7;   -6.8;   -7.8;eor
      13696;20071224;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.0;   5.9;    -999;    1.0;   90.00;    4.9;   -3.1;   -3.6;eor
      13696;20071225;-999;-999;-999;   10;   0.1;   6;-999;   0;   6.3;   5.6;    -999;    3.0;   74.00;    5.6;   -1.1;   -2.9;eor
      13696;20071226;-999;-999;-999;   10;   0.0;   6;-999;   0;   8.0;   6.7;    -999;    3.0;   88.00;    4.1;    1.7;   -0.7;eor
      13696;20071227;-999;-999;-999;   10;   0.0;   0;-999;   0;   6.0;   7.0;    -999;    4.0;   85.00;    6.1;    1.2;   -1.3;eor
      13696;20071228;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.7;   8.0;    -999;    6.7;   81.00;   10.1;    4.2;    2.1;eor
      13696;20071229;-999;-999;-999;   10;   0.8;   6;-999;   0;   7.3;   7.2;    -999;    5.3;   80.00;    7.6;    2.9;    1.0;eor
      13696;20071230;-999;-999;-999;   10;   3.3;   6;-999;   0;   8.0;   8.0;    -999;    5.5;   89.00;    6.8;    2.3;   -0.7;eor
      13696;20071231;-999;-999;-999;   10;   0.1;   7;-999;   0;   7.3;   6.3;    -999;    0.4;   99.00;    4.6;   -1.7;   -3.5;eor
      13696;20080101;-999;-999;-999;   10;   0.0;   0;-999;   0;   8.0;   5.9;    -999;   -0.4;  100.00;    1.6;   -2.1;   -4.3;eor
      13696;20080102;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.3;   5.0;    -999;   -0.5;   86.00;    1.7;   -2.4;   -4.4;eor
      13696;20080103;-999;-999;-999;   10;   0.0;   6;-999;   0;   5.7;   4.4;    -999;    0.8;   68.00;    1.9;   -0.3;   -2.0;eor
      13696;20080104;-999;-999;-999;   10;   0.8;   6;-999;   0;   6.3;   5.3;    -999;    2.7;   71.00;    6.0;   -0.1;   -2.2;eor
      13696;20080105;-999;-999;-999;   10;   2.7;   6;-999;   0;   7.3;   8.0;    -999;    6.8;   80.00;    8.6;    4.1;    3.1;eor
      13696;20080106;-999;-999;-999;   10;   1.8;   6;-999;   0;   5.3;   7.5;    -999;    4.8;   88.00;    6.8;    1.2;   -2.7;eor
      13696;20080107;-999;-999;-999;   10;   5.4;   6;-999;   0;   7.3;   7.7;    -999;    6.8;   79.00;    9.1;    2.9;    0.7;eor
      13696;20080108;-999;-999;-999;   10;   0.2;   6;-999;   0;   5.0;   7.5;    -999;    6.1;   80.00;    7.7;    3.8;    1.3;eor
      13696;20080109;-999;-999;-999;   10;   6.2;   6;-999;   0;   6.7;   7.5;    -999;    5.8;   82.00;    7.0;    4.6;    1.6;eor
      13696;20080110;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.7;   7.8;    -999;    7.2;   76.00;   10.6;    4.1;    1.8;eor
      13696;20080111;-999;-999;-999;   10;   1.2;   6;-999;   0;   5.7;   9.3;    -999;   11.1;   70.00;   13.1;    9.1;    7.6;eor
      13696;20080112;-999;-999;-999;   10;   0.4;   6;-999;   0;   6.0;   7.8;    -999;    6.5;   80.00;    9.2;    1.7;   -1.9;eor
      13696;20080113;-999;-999;-999;   10;   0.0;   0;-999;   0;   2.7;   6.1;    -999;    4.8;   71.00;    9.0;    0.1;   -3.4;eor
      13696;20080114;-999;-999;-999;   10;   0.1;   6;-999;   0;   6.0;   7.0;    -999;    6.0;   74.00;    8.5;    1.1;   -2.0;eor
      13696;20080115;-999;-999;-999;   10;   0.8;   6;-999;   0;   6.3;   8.3;    -999;    8.8;   73.00;    9.9;    7.1;    5.2;eor
      13696;20080116;-999;-999;-999;   10;   3.5;   6;-999;   0;   7.3;   8.4;    -999;    7.8;   80.00;   10.0;    3.9;    1.3;eor
      13696;20080117;-999;-999;-999;   10;   1.8;   6;-999;   0;   7.7;   8.4;    -999;    6.5;   87.00;    9.4;    1.4;   -0.6;eor
      13696;20080118;-999;-999;-999;   10;   6.6;   6;-999;   0;   8.0;   9.9;    -999;    9.4;   84.00;   11.9;    7.8;    6.7;eor
      13696;20080119;-999;-999;-999;   10;  17.1;   6;-999;   0;   8.0;  13.0;    -999;   11.6;   95.00;   12.3;   10.4;    9.9;eor
      13696;20080120;-999;-999;-999;   10;   3.7;   6;-999;   0;   8.0;  12.5;    -999;   11.5;   92.00;   12.2;   10.7;    9.9;eor
      13696;20080121;-999;-999;-999;   10;  15.8;   6;-999;   0;   8.0;  10.5;    -999;    9.4;   89.00;   10.7;    7.8;    6.7;eor
      13696;20080122;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.3;   7.0;    -999;    4.1;   85.00;    9.4;   -1.0;   -3.0;eor
      13696;20080123;-999;-999;-999;   10;   0.0;   6;-999;   0;   7.7;   7.2;    -999;    4.8;   83.00;    9.1;   -1.4;   -3.5;eor
      13696;20080124;-999;-999;-999;   10;   2.8;   6;-999;   0;   8.0;   9.0;    -999;    8.3;   82.00;    9.3;    3.6;    0.5;eor
      13696;20080125;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.0;   6.9;    -999;    5.6;   76.00;    8.3;    1.3;   -2.4;eor
      13696;20080126;-999;-999;-999;   10;   0.9;   6;-999;   0;   5.7;   8.3;    -999;    8.1;   77.00;   10.8;    6.1;    4.6;eor
      13696;20080127;-999;-999;-999;   10;   0.3;   6;-999;   0;   8.0;   9.2;    -999;    7.9;   86.00;    8.8;    6.6;    6.0;eor
      13696;20080128;-999;-999;-999;   10;   0.0;   0;-999;   0;   8.0;   8.8;    -999;    7.7;   84.00;    8.6;    5.9;    5.2;eor
      13696;20080129;-999;-999;-999;   10;   0.0;   0;-999;   0;   8.0;   7.0;    -999;    5.6;   78.00;    7.1;    0.1;   -1.5;eor
      13696;20080130;-999;-999;-999;   10;   4.7;   8;-999;   0;   8.0;   6.9;    -999;    2.3;   95.00;    4.2;   -0.7;   -2.1;eor
      13696;20080131;-999;-999;-999;   10;   4.7;   6;-999;   0;   7.3;   6.2;    -999;    3.0;   82.00;    5.4;    1.0;   -1.5;eor
      13696;20080201;-999;-999;-999;   10;   3.1;   8;-999;   0;   7.7;   7.1;    -999;    5.5;   78.00;    6.8;    3.7;    2.0;eor
      13696;20080202;-999;-999;-999;   10;   0.6;   8;-999;   2;   7.7;   6.0;    -999;    2.2;   84.00;    4.2;    0.3;   -1.6;eor
      13696;20080203;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.0;   4.7;    -999;    3.0;   64.00;    6.1;    0.0;   -2.8;eor
      13696;20080204;-999;-999;-999;   10;   2.7;   6;-999;   0;   7.7;   6.5;    -999;    5.5;   73.00;    8.0;    2.9;   -0.5;eor
      13696;20080205;-999;-999;-999;   10;   7.4;   6;-999;   0;   8.0;   7.9;    -999;    6.4;   82.00;   11.1;    2.7;   -1.1;eor
      13696;20080206;-999;-999;-999;   10;   4.1;   6;-999;   0;   8.0;   8.9;    -999;    7.5;   86.00;   10.9;    3.6;    0.8;eor
      13696;20080207;-999;-999;-999;   10;   0.0;   0;-999;   0;   2.3;   6.9;    -999;    4.6;   83.00;    9.1;    1.2;   -1.8;eor
      13696;20080208;-999;-999;-999;   10;   0.0;   0;-999;   0;   1.7;   5.3;    -999;    3.8;   74.00;   14.1;   -2.0;   -3.6;eor
      13696;20080209;-999;-999;-999;   10;   0.0;   0;-999;   0;   1.3;   5.4;    -999;    3.9;   75.00;   16.3;   -2.7;   -3.9;eor
      13696;20080210;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.3;   6.2;    -999;    2.9;   85.00;   12.6;   -2.7;   -3.9;eor
      13696;20080211;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.0;   6.3;    -999;    3.6;   83.00;   14.1;   -2.7;   -3.9;eor
      13696;20080212;-999;-999;-999;   10;   0.0;   0;-999;   0;   1.0;   6.3;    -999;    2.6;   87.00;   10.8;   -3.4;   -4.8;eor
      13696;20080213;-999;-999;-999;   10;   0.0;   0;-999;   0;   8.0;   6.2;    -999;    0.2;  100.00;    2.0;   -1.2;   -1.2;eor
      13696;20080214;-999;-999;-999;   10;   0.0;   0;-999;   0;   8.0;   6.8;    -999;    1.6;   99.00;    3.7;   -0.8;   -0.3;eor
      13696;20080215;-999;-999;-999;   10;   0.0;   0;-999;   0;   0.7;   4.8;    -999;    1.5;   70.00;    4.1;   -3.0;   -5.6;eor
      13696;20080216;-999;-999;-999;   10;   0.0;   0;-999;   0;   0.3;   3.7;    -999;   -1.7;   71.00;    2.8;   -5.9;   -7.5;eor
      13696;20080217;-999;-999;-999;   10;   0.0;   0;-999;   0;   1.3;   3.6;    -999;   -1.3;   72.00;    9.2;   -7.4;   -8.3;eor
      13696;20080218;-999;-999;-999;   10;   0.0;   0;-999;   0;   6.3;   5.1;    -999;   -0.8;   89.00;    5.1;   -6.9;   -7.8;eor
      13696;20080219;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.0;   6.4;    -999;    2.2;   90.00;    6.0;   -2.8;   -4.4;eor
      13696;20080220;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.7;   6.8;    -999;    3.1;   89.00;    9.8;   -4.1;   -5.4;eor
      13696;20080221;-999;-999;-999;   10;   0.1;   6;-999;   0;   8.0;   8.7;    -999;    7.3;   86.00;    9.7;    2.2;   -0.9;eor
      13696;20080222;-999;-999;-999;   10;   0.2;   6;-999;   0;   8.0;  10.1;    -999;    9.4;   86.00;   10.8;    8.0;    7.4;eor
      13696;20080223;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.7;   9.1;    -999;    9.3;   77.00;   12.2;    4.5;    0.5;eor
      13696;20080224;-999;-999;-999;   10;   3.8;   6;-999;   0;   7.3;   9.2;    -999;    8.9;   80.00;   11.1;    6.1;    4.2;eor
      13696;20080225;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.0;   8.5;    -999;    7.8;   81.00;   10.8;    2.6;    1.3;eor
      13696;20080226;-999;-999;-999;   10;   2.7;   6;-999;   0;   7.7;  10.5;    -999;   10.5;   82.00;   13.3;    7.6;    4.8;eor
      13696;20080227;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.3;   7.4;    -999;    6.7;   76.00;    9.8;   -0.5;   -2.8;eor
      13696;20080228;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.0;   7.0;    -999;    5.0;   81.00;   10.7;   -2.0;   -3.8;eor
      13696;20080229;-999;-999;-999;   10;  20.4;   6;-999;   0;   8.0;   8.8;    -999;    7.7;   84.00;    9.9;    5.9;    5.0;eor
      13696;20080301;-999;-999;-999;   10;   4.2;   6;-999;   0;   7.7;   8.3;    -999;    8.5;   75.00;   10.3;    6.5;    5.2;eor
      13696;20080302;-999;-999;-999;   10;   0.1;   6;-999;   0;   6.3;   8.3;    -999;    9.6;   70.00;   12.1;    6.7;    5.6;eor
      13696;20080303;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.0;   6.7;    -999;    6.6;   68.00;    9.7;   -0.8;   -2.7;eor
      13696;20080304;-999;-999;-999;   10;   0.6;   6;-999;   0;   6.7;   5.6;    -999;    2.5;   79.00;    7.5;   -1.5;   -2.9;eor
      13696;20080305;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.0;   4.6;    -999;    1.8;   68.00;    6.2;   -3.2;   -5.2;eor
      13696;20080306;-999;-999;-999;   10;   0.2;   6;-999;   0;   8.0;   7.2;    -999;    5.1;   81.00;    6.8;    2.8;    1.4;eor
      13696;20080307;-999;-999;-999;   10;   0.0;   6;-999;   0;   7.7;   8.4;    -999;    7.4;   81.00;    8.8;    6.3;    5.2;eor
      13696;20080308;-999;-999;-999;   10;   0.0;   0;-999;   0;   6.0;   6.7;    -999;    6.5;   71.00;   10.6;   -0.1;   -2.7;eor
      13696;20080309;-999;-999;-999;   10;   0.0;   6;-999;   0;   7.7;   7.7;    -999;    8.7;   68.00;   10.5;    6.8;    5.8;eor
      13696;20080310;-999;-999;-999;   10;   3.1;   6;-999;   0;   5.7;   7.1;    -999;    8.0;   67.00;   10.8;    5.6;    3.2;eor
      13696;20080311;-999;-999;-999;   10;   7.9;   6;-999;   0;   7.7;   8.5;    -999;    8.4;   77.00;   11.9;    6.1;    4.6;eor
      13696;20080312;-999;-999;-999;   10;   3.9;   6;-999;   0;   8.0;   7.4;    -999;    8.0;   70.00;   10.6;    5.6;    4.0;eor
      13696;20080313;-999;-999;-999;   10;   1.5;   6;-999;   0;   7.0;   7.2;    -999;    7.6;   69.00;    9.6;    5.5;    3.9;eor
      13696;20080314;-999;-999;-999;   10;   0.3;   6;-999;   0;   7.3;   7.8;    -999;    7.2;   78.00;   11.8;    0.2;   -1.5;eor
      13696;20080315;-999;-999;-999;   10;   2.6;   6;-999;   0;   6.3;   8.0;    -999;    6.7;   81.00;   14.7;   -2.3;   -3.7;eor
      13696;20080316;-999;-999;-999;   10;  13.4;   6;-999;   0;   8.0;  10.1;    -999;    8.4;   91.00;   10.6;    4.8;    4.5;eor
      13696;20080317;-999;-999;-999;   10;   0.4;   8;-999;   0;   7.7;   6.6;    -999;    4.6;   77.00;    7.3;    1.2;   -0.5;eor
      13696;20080318;-999;-999;-999;   10;   0.2;   6;-999;   0;   6.3;   6.0;    -999;    3.5;   78.00;    8.8;   -0.3;   -2.3;eor
      13696;20080319;-999;-999;-999;   10;   0.4;   7;-999;   0;   7.0;   6.2;    -999;    3.6;   79.00;    6.8;    2.0;    0.6;eor
      13696;20080320;-999;-999;-999;   10;  15.7;   6;-999;   0;   7.3;   6.9;    -999;    3.7;   86.00;    6.3;    1.5;   -0.3;eor
      13696;20080321;-999;-999;-999;   10;   5.8;   8;-999;   0;   7.7;   7.1;    -999;    3.5;   90.00;    6.2;    0.4;    0.0;eor
      13696;20080322;-999;-999;-999;   10;   1.1;   8;-999;   0;   8.0;   6.5;    -999;    2.0;   91.00;    4.1;   -0.8;   -1.4;eor
      13696;20080323;-999;-999;-999;   10;   0.0;   0;-999;   0;   2.7;   3.8;    -999;    0.0;   64.00;    5.5;   -3.8;   -5.2;eor
      13696;20080324;-999;-999;-999;   10;   1.7;   7;-999;   0;   7.7;   5.1;    -999;    0.3;   82.00;    4.4;   -2.2;   -4.2;eor
      13696;20080325;-999;-999;-999;   10;   2.3;   7;-999;   0;   7.3;   5.5;    -999;    1.1;   84.00;    5.0;   -1.1;   -2.0;eor
      13696;20080326;-999;-999;-999;   10;   0.0;   0;-999;   0;   7.7;   6.3;    -999;    2.4;   87.00;    4.7;    0.0;   -0.2;eor
      13696;20080327;-999;-999;-999;   10;   2.0;   6;-999;   0;   7.3;   7.5;    -999;    4.8;   86.00;    8.6;    2.0;    1.4;eor
      13696;20080328;-999;-999;-999;   10;   3.2;   6;-999;   0;   7.7;   7.4;    -999;    6.8;   77.00;   11.0;    0.0;   -1.4;eor
      13696;20080329;-999;-999;-999;   10;   0.4;   6;-999;   0;   6.0;   7.2;    -999;    9.1;   63.00;   12.2;    7.1;    2.9;eor
      13696;20080330;-999;-999;-999;   10;   0.7;   6;-999;   0;   6.3;   7.3;    -999;   11.7;   55.00;   18.6;    8.6;    5.0;eor
      13696;20080331;-999;-999;-999;   10;   0.0;   0;-999;   0;   6.0;   9.1;    -999;    9.7;   76.00;   13.3;    3.7;    2.2;eor
      13696;20080401;-999;-999;-999;   10;  11.3;   8;-999;   0;   4.7;   8.2;    -999;    7.9;   80.00;   15.8;   -0.3;   -1.2;eor
      13696;20080402;-999;-999;-999;   10;   2.9;   6;-999;   0;   7.3;   8.8;    -999;    8.4;   79.00;   10.7;    6.2;    3.7;eor
      13696;20080403;-999;-999;-999;   10;   1.2;   6;-999;   0;   8.0;   8.5;    -999;    7.2;   84.00;    9.0;    5.5;    4.7;eor
      13696;20080404;-999;-999;-999;   10;   1.0;   6;-999;   0;   8.0;   8.5;    -999;    7.4;   82.00;    9.5;    5.3;    5.3;eor
