STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       6158;19990701;-999;-999;-999;   10;   0.0;   0;   10.400;   0;   3.7;  14.4;    -999;   16.8;   73.00;   22.3;   11.4;    9.5;eor
       6158;19990702;-999;-999;-999;   10;   0.0;   0;   12.900;   0;   2.7;  14.0;    -999;   17.9;   67.00;   23.9;   12.6;   10.6;eor
       6158;19990703;-999;-999;-999;   10;   0.0;   0;   14.200;   0;   1.0;  15.7;    -999;   22.6;   58.00;   30.6;   11.1;    8.2;eor
       6158;19990704;-999;-999;-999;   10;   0.0;   0;   10.300;   0;   2.3;  18.9;    -999;   24.1;   61.00;   31.5;   15.0;   12.7;eor
       6158;19990705;-999;-999;-999;   10;   2.7;   6;   11.700;   0;   5.0;  16.4;    -999;   24.0;   54.00;   29.0;   16.3;   12.5;eor
       6158;19990706;-999;-999;-999;   10;   4.2;   6;    1.500;   0;   7.3;  17.5;    -999;   16.3;   93.00;   22.4;   14.9;   14.8;eor
       6158;19990707;-999;-999;-999;   10;   2.7;   6;    0.000;   0;   8.0;  15.2;    -999;   14.7;   91.00;   15.6;   12.6;   11.2;eor
       6158;19990708;-999;-999;-999;   10;   3.6;   6;    5.500;   0;   7.3;  14.3;    -999;   16.5;   76.00;   21.0;   13.4;   11.4;eor
       6158;19990709;-999;-999;-999;   10;   4.3;   6;    0.600;   0;   7.3;  15.7;    -999;   15.8;   87.00;   19.4;   14.1;   13.4;eor
       6158;19990710;-999;-999;-999;   10;   5.0;   6;    0.400;   0;   5.7;  18.7;    -999;   19.1;   85.00;   21.8;   15.0;   14.5;eor
       6158;19990711;-999;-999;-999;   10;   0.1;   6;    2.900;   0;   4.7;  18.3;    -999;   19.3;   80.00;   24.4;   15.9;   12.5;eor
       6158;19990712;-999;-999;-999;   10;   0.1;   6;    4.700;   0;   5.3;  18.2;    -999;   17.5;   89.00;   23.9;   16.0;   13.5;eor
       6158;19990713;-999;-999;-999;   10;  33.2;   6;    6.000;   0;   4.3;  18.9;    -999;   17.6;   91.00;   25.5;   13.4;   11.2;eor
